DEPT,GR,RES_DEP
336.804,80.249702454,1.2424000502
336.9564,80.509399414,1.2806999683
337.1088,80.009902954,1.2005000114
337.2612,79.944999695,1.2704999447
337.4136,80.868896484,1.2396999598
337.566,82.731903076,1.2209000587
337.7184,86.722396851,1.2575000525
337.8708,88.979797363,1.2394000292
338.0232,85.453796387,1.2790999413
338.1756,79.900001526,1.2695000172
338.328,78.271896362,1.2876000404
338.4804,81.528198242,1.2815999985
338.6328,84.285102844,1.2640000582
338.7852,85.223999023,1.3597999811
338.9376,87.761199951,1.3216999769
339.09,88.460403442,1.2619999647
339.2424,86.152999878,1.2538000345
339.3948,85.943199158,1.266100049
339.5472,85.573699951,1.2903000116
339.6996,84.559799194,1.2648999691
339.852,85.783401489,1.2668999434
340.0044,87.456497192,1.3049999475
340.1568,88.260597229,1.2921999693
340.3092,89.71900177,1.3538999557
340.4616,90.917602539,1.3006000519
340.614,90.133499146,1.2680000067
340.7664,89.938697815,1.2948000431
340.9188,86.917098999,1.2997000217
341.0712,84.734596252,1.2904000282
341.2236,87.351699829,1.3027000427
341.376,87.376602173,1.3466999531
341.5284,85.693496704,1.2922999859
341.6808,85.388900757,1.2972999811
341.8332,84.744598389,1.2762000561
341.9856,83.136398315,1.3285000324
342.138,83.85559845,1.3037999868
342.2904,87.901000977,1.3487999439
342.4428,91.546897888,1.3021999598
342.5952,93.404800415,1.2999999523
342.7476,95.342697144,1.3559999466
342.9,95.342697144,1.2647000551
343.0524,92.535797119,1.2731000185
343.2048,88.869903564,1.2961000204
343.3572,85.633598328,1.2918000221
343.5096,83.01650238,1.2989000082
343.662,81.188598633,1.3246999979
343.8144,84.295097351,1.2612999678
343.9668,87.591400146,1.2790999413
344.1192,87.161903381,1.2805999517
344.2716,89.219497681,1.2819000483
344.424,91.35710144,1.3013000488
344.5764,89.269500732,1.2834999561
344.7288,85.538696289,1.3199000359
344.8812,84.215202332,1.288400054
345.0336,88.105796814,1.2676999569
345.186,91.267196655,1.2796000242
345.3384,89.409301758,1.2860000134
345.4908,87.031997681,1.288400054
345.6432,85.044197083,1.3049999475
345.7956,85.693496704,1.2541999817
345.948,88.590301514,1.2706999779
346.1004,87.451499939,1.2532999516
346.2528,86.642402649,1.2728999853
346.4052,89.309402466,1.2955000401
346.5576,89.649101257,1.2620999813
346.71,88.250602722,1.2447999716
346.8624,90.263397217,1.2567000389
347.0148,94.174003601,1.2728999853
347.1672,94.538597107,1.2646000385
347.3196,91.167396545,1.2618000507
347.472,89.843803406,1.2900999784
347.6244,92.575798035,1.2311999798
347.7768,95.117897034,1.2633999586
347.9292,95.302696228,1.2331000566
348.0816,92.16619873,1.2280999422
348.234,87.911003113,1.2549999952
348.3864,87.591400146,1.2783999443
348.5388,88.260597229,1.2421000004
348.6912,85.953201294,1.290199995
348.8436,82.896697998,1.274799943
348.996,81.028800964,1.2742999792
349.1484,79.720298767,1.2510000467
349.3008,78.631500244,1.2651000023
349.4532,81.907798767,1.3205000162
349.6056,86.702400208,1.2403999567
349.758,85.973197937,1.285400033
349.9104,86.862197876,1.2882000208
350.0628,91.806602478,1.2299000025
350.2152,92.620697021,1.2858999968
350.3676,88.730102539,1.3213000298
350.52,83.161399841,1.2419999838
350.6724,81.358398438,1.2661999464
350.8248,85.96320343,1.2375999689
350.9772,91.072502136,1.263299942
351.1296,92.465896606,1.2592999935
351.282,91.631797791,1.2342000008
351.4344,89.597099304,1.2573000193
351.5868,88.256599426,1.2430000305
351.7392,89.247497559,1.0892000198
351.8916,88.340499878,1.1065000296
352.044,85.393798828,1.0878000259
352.1964,84.16519928,1.1055999994
352.3488,84.594802856,1.1306999922
352.5012,85.017303467,1.108199954
352.6536,84.450897217,1.0943000317
352.806,84.298103333,1.065500021
352.9584,86.033096313,1.1055999994
353.1108,88.545303345,1.0722999573
353.2632,90.398200989,1.1131000519
353.4156,93.599601746,1.0921000242
353.568,93.095199585,1.0825999975
353.7204,84.544799805,1.0645999908
353.8728,79.105903625,1.056499958
354.0252,79.230796814,1.0602999926
354.1776,80.594299316,1.0563999414
354.33,86.292800903,1.0620000362
354.4824,92.236198425,1.0558999777
354.6348,90.508102417,1.0477999449
354.7872,86.133003235,1.057000041
354.9396,84.125297546,1.0686999559
355.092,82.387298584,1.0976999998
355.2444,84.664703369,1.1059999466
355.3968,87.233200073,1.1060999632
355.5492,84.275497437,1.1081000566
355.7016,83.412498474,1.0614000559
355.854,86.060600281,1.0923000574
356.0064,84.614700317,1.0928000212
356.1588,81.628097534,1.1011999846
356.3112,81.288497925,1.1308000088
356.4636,79.79019928,1.1080000401
356.616,75.474998474,1.1218999624
356.7684,72.77809906,1.1191999912
356.9208,73.966697693,1.1150000095
357.0732,76.234199524,1.0808999538
357.2256,80.059898376,1.0855000019
357.378,84.334999084,1.0915000439
357.5304,83.740699768,1.0750999451
357.6828,80.769096375,1.0656000376
357.8352,81.143600464,1.0630999804
357.9876,82.367301941,1.0635000467
358.14,81.905799866,1.0536999702
358.2924,80.135803223,1.0500999689
358.4448,79.604103088,1.0405000448
358.5972,80.990196228,1.046200037
358.7496,79.596099854,1.0353000164
358.902,77.677497864,1.0446000099
359.0544,78.581497192,1.0587999821
359.2068,80.044898987,1.0753999949
359.3592,82.057601929,1.0692000389
359.5116,83.106399536,1.0900000334
359.664,81.098701477,1.1096999645
359.8164,81.048698425,1.0994999409
359.9688,85.094200134,1.0887000561
360.1212,86.336799622,1.1047999859
360.2736,82.035598755,1.1029000282
360.426,79.329498291,1.0966000557
360.5784,79.94960022,1.0945999622
360.7308,79.055801392,1.0907000303
360.8832,79.001098633,1.0917999744
361.0356,83.416099548,1.0953999758
361.188,87.121902466,1.0784000158
361.3404,85.363899231,1.0892000198
361.4928,83.076499939,1.0597000122
361.6452,82.776802063,1.040899992
361.7976,82.577003479,1.0026999712
361.95,83.196296692,0.9893000126
362.1024,83.965499878,0.9595000148
362.2548,82.776802063,0.9230999947
362.4072,80.404502869,0.9057999849
362.5596,79.58039856,0.8938999772
362.712,79.555397034,0.8777999878
362.8644,79.350700378,0.8880000114
363.0168,82.117500305,0.8917000294
363.1692,85.873298645,0.8831999898
363.3216,84.994300842,0.8806999922
363.474,80.559303284,0.8830999732
363.6264,78.731399536,0.8759999871
363.7788,79.940002441,0.8852000237
363.9312,79.265800476,0.8823000193
364.0836,77.263000488,0.9089000225
364.236,78.256896973,0.9228000045
364.3884,82.746803284,0.9210000038
364.5408,86.172996521,0.91049999
364.6932,85.893302917,0.9265000224
364.8456,84.994300842,0.9255999923
364.998,86.592498779,0.9399999976
365.1504,90.448196411,0.945200026
365.3028,92.875396729,0.966899991
365.4552,90.248397827,0.9341999888
365.6076,86.452697754,0.96450001
365.76,85.753501892,0.9492999911
365.9124,85.878303528,0.9649000168
366.0648,84.834503174,0.9624000192
366.2172,83.750701904,0.9455999732
366.3696,82.467201233,0.951300025
366.522,85.888298035,0.9334999919
366.6744,95.362602234,0.9578999877
366.8268,97.555198669,0.9541000128
366.9792,92.495903015,0.9713000059
367.1316,90.103599548,0.9700999856
367.284,88.720100403,0.9545999765
367.4364,87.027000427,0.951300025
367.5888,87.671302795,0.9749000072
367.7412,89.429298401,0.9527000189
367.8936,89.649101257,0.9521999955
368.046,88.480400085,0.9494000077
368.1984,85.923301697,0.9530000091
368.3508,86.25289917,0.9642000198
368.5032,91.192298889,0.9629999995
368.6556,91.893997192,0.986899972
368.808,88.194503784,0.9818999767
368.9604,87.037002563,0.9688000083
369.1128,86.000900269,0.9844999909
369.2652,84.942398071,1.0109000206
369.4176,88.759101868,1.0160000324
369.57,92.318099976,1.0092999935
