DEPT,GR50m_Espaciam
365.1504,85.423858643
365.3028,85.423858643
365.4552,85.423858643
365.6076,85.423858643
365.76,85.423858643
365.9124,85.423858643
366.0648,85.423858643
366.2172,85.423858643
366.3696,85.423858643
366.522,85.423858643
366.6744,85.423858643
366.8268,85.423858643
366.9792,85.423858643
367.1316,85.423858643
367.284,85.423858643
367.4364,85.423858643
367.5888,85.423858643
367.7412,85.423858643
367.8936,85.423858643
368.046,85.423858643
368.1984,85.423858643
368.3508,85.423858643
368.5032,85.423858643
368.6556,85.423858643
368.808,85.423858643
368.9604,85.423858643
369.1128,85.423858643
369.2652,85.423858643
369.4176,85.423858643
369.57,85.423858643
369.7224,85.423858643
369.8748,85.423858643
370.0272,85.423858643
370.1796,85.423858643
370.332,85.423858643
370.4844,85.423858643
370.6368,85.423858643
370.7892,85.423858643
370.9416,85.423858643
371.094,85.423858643
371.2464,85.423858643
371.3988,85.423858643
371.5512,85.423858643
371.7036,85.423858643
371.856,85.423858643
372.0084,85.423858643
372.1608,85.423858643
372.3132,85.423858643
372.4656,85.423858643
372.618,85.423858643
372.7704,85.423858643
372.9228,85.423858643
373.0752,85.423858643
373.2276,85.423858643
373.38,85.423858643
373.5324,85.423858643
373.6848,85.423858643
373.8372,85.423858643
373.9896,85.423858643
374.142,85.423858643
374.2944,85.423858643
374.4468,85.423858643
374.5992,85.423858643
374.7516,85.423858643
374.904,85.423858643
375.0564,85.423858643
375.2088,85.423858643
375.3612,85.423858643
375.5136,85.423858643
375.666,85.423858643
375.8184,85.423858643
375.9708,85.423858643
376.1232,85.423858643
376.2756,85.423858643
376.428,85.423858643
376.5804,85.423858643
376.7328,85.423858643
376.8852,85.423858643
377.0376,85.423858643
377.19,85.423858643
377.3424,85.423858643
377.4948,85.423858643
377.6472,85.423858643
377.7996,85.423858643
377.952,85.423858643
378.1044,85.423858643
378.2568,85.423858643
378.4092,85.423858643
378.5616,85.423858643
378.714,85.423858643
378.8664,85.423858643
379.0188,85.423858643
379.1712,85.423858643
379.3236,85.423858643
379.476,85.423858643
379.6284,85.423858643
379.7808,85.423858643
379.9332,85.423858643
380.0856,85.423858643
380.238,85.423858643
380.3904,85.423858643
380.5428,85.423858643
380.6952,85.423858643
380.8476,85.423858643
381,85.423858643
381.1524,85.423858643
381.3048,85.423858643
381.4572,85.423858643
381.6096,85.423858643
381.762,85.423858643
381.9144,85.423858643
382.0668,85.423858643
382.2192,85.423858643
382.3716,85.423858643
382.524,85.423858643
382.6764,85.423858643
382.8288,85.423858643
382.9812,85.423858643
383.1336,85.423858643
383.286,85.423858643
383.4384,85.423858643
383.5908,85.423858643
383.7432,85.423858643
383.8956,85.423858643
384.048,85.423858643
384.2004,85.423858643
384.3528,85.423858643
384.5052,85.423858643
384.6576,85.423858643
384.81,85.423858643
384.9624,85.423858643
385.1148,85.423858643
385.2672,85.423858643
385.4196,85.423858643
385.572,85.423858643
385.7244,85.423858643
385.8768,85.423858643
386.0292,85.423858643
386.1816,85.423858643
386.334,85.423858643
386.4864,85.423858643
386.6388,85.423858643
386.7912,85.423858643
386.9436,85.423858643
387.096,85.423858643
387.2484,85.423858643
387.4008,85.423858643
387.5532,85.423858643
387.7056,85.423858643
387.858,85.423858643
388.0104,85.423858643
388.1628,85.423858643
388.3152,85.423858643
388.4676,85.423858643
388.62,85.423858643
388.7724,85.423858643
388.9248,85.423858643
389.0772,85.423858643
389.2296,85.423858643
389.382,85.423858643
389.5344,85.423858643
389.6868,85.423858643
389.8392,85.423858643
389.9916,85.423858643
390.144,85.423858643
390.2964,85.423858643
390.4488,85.423858643
390.6012,85.423858643
390.7536,85.423858643
